site_id,baseline_score,synthetic_revenue
site_000,52853.89113433614,54095.67651686422
site_001,44132.7275723091,43787.066819381136
site_002,45158.418332684996,46777.63967793673
site_003,46001.98613393572,49809.56077495579
site_004,53550.089335895056,52964.705899086715
site_005,45010.89633883913,44425.55394646618
site_006,45387.855131004624,49335.8871697731
site_007,50017.84014048279,51936.42696336506
site_008,50137.650397766214,48963.964432928835
site_009,47133.9336785894,48490.33378755431
site_010,55043.90647213178,53885.36224010062
site_011,54948.4606130072,53784.13622908156
site_012,47036.799181902774,47641.70486081786
site_013,45888.67492485946,41105.47431321496
site_014,53371.29090463741,49058.99632335483
site_015,56697.07697606885,55291.358152966415
site_016,58862.64411791766,56330.566317081604
site_017,54071.19971396548,54856.81804545366
site_018,49177.060656503025,46907.000467699996
site_019,49946.52988070415,46415.77062736592
site_020,58990.67377386372,62654.7956961676
site_021,47872.4542238728,47308.013472656465
site_022,46441.51010329353,46610.330615013336
site_023,44700.407512251484,41138.53704671784
site_024,44364.46310295967,43003.506291646714
site_025,45235.48736880067,45512.793843075335
site_026,58537.52324345062,55660.03929989486
site_027,46078.05807228913,47017.303118153315
site_028,46117.02292989336,44615.42620509635
site_029,62057.22285144118,61327.988476957995
site_030,51459.841007226394,49955.5744766529
site_031,58912.10016621033,63542.79562748267
site_032,49468.66611459571,49434.92305275088
site_033,56635.16124312886,53990.88392073911
site_034,46155.44922937402,48211.81150963199
site_035,46101.61108766826,43049.5019627407
site_036,45396.087770312995,45918.24675782488
site_037,45306.76844005389,40407.59313035446
site_038,43959.029539739226,40638.56441749315
site_039,48834.30196879628,49326.45505846909
site_040,60802.65247566372,62648.818925652246
site_041,50317.05971546592,50745.48041844084
site_042,56715.43605106537,56426.31534509477
site_043,49412.992286806395,48660.23304783317
site_044,51660.92656325656,47964.62158733799
site_045,46254.38384346772,44454.77332248095
site_046,48390.089473874126,47238.492546474656
site_047,44712.67810985856,47355.483675405856
site_048,49236.90926303123,50095.95498695238
site_049,45444.100830747295,41036.50044234046
