site_id,nearest_competitor_dist_m,nearest_transit_dist_m,competitor_count_1000m,transit_stop_count_1000m,wealth_poi_count_1000m,poi_diversity_1000m,road_density_1000m,pop_1000m,competitor_count_3000m,transit_stop_count_3000m,wealth_poi_count_3000m,poi_diversity_3000m,road_density_3000m,pop_3000m
site_000,604.0975814716936,104.37837489222282,1,28,11,29,0.04099748108447478,121683.5546875,31,178,131,126,0.045431254649374385,975425.5625
site_001,921.1094789198013,72.00686018470194,4,5,0,16,0.026275533836236563,4639.0302734375,58,28,48,78,0.029383126919538646,60820.2890625
site_002,2265.8166652537493,412.0596112214697,0,7,0,7,0.010518543347216887,15381.705078125,4,44,36,66,0.012672288819082972,166339.90625
site_003,906.3074318845123,851.7543764865433,1,5,2,14,0.008199306666161546,23793.47265625,59,64,118,117,0.017890157085397703,383472.40625
site_004,234.62017867379868,301.8582081467592,12,13,56,93,0.02360824305579634,7635.9951171875,58,69,211,156,0.015132988554173454,40593.55078125
site_005,721.5584829052254,709.8371463340418,12,3,15,38,0.018870946659691884,3916.564453125,53,37,247,113,0.01098538012035549,33952.171875
site_006,735.4602573946881,1051.5618940375025,1,0,2,20,0.017821817824174475,2598.4814453125,61,31,208,153,0.014595187865308962,23302.91796875
site_007,121.38116576895214,293.4418234306311,21,12,50,89,0.02384579864869357,6910.36474609375,90,87,443,177,0.01901051746596159,112272.765625
site_008,797.0994023571476,411.8981641231502,1,20,34,35,0.008440274266425888,6991.5302734375,95,87,433,164,0.01683731281348155,60536.03515625
site_009,512.4959904949656,622.9348709821506,8,8,16,47,0.024445398072456027,8707.263671875,96,123,313,167,0.031033035362522,85513.6171875
site_010,684.1008178064842,247.32675706710106,4,16,11,32,0.058520689099878384,179296.15625,91,240,319,175,0.05480393070823121,1716116.875
site_011,67.24259962343301,279.7431818808962,13,20,72,90,0.05563353902203009,10965.0986328125,128,201,761,177,0.043922189629096844,213636.390625
site_012,141.677714586188,207.11087460001647,11,7,24,46,0.03325067613935256,7923.83740234375,89,78,270,146,0.026639444022204833,71685.140625
site_013,731.5142018775676,1033.9566970324408,1,0,7,21,0.0076641762834782365,319.7649841308594,13,19,47,107,0.008190848667555253,18566.23046875
site_014,570.4908927184318,81.42785457326484,4,22,11,37,0.05840393739230373,138005.03125,106,160,233,148,0.046548245950838514,1132515.25
site_015,385.18700261830486,238.0213674714715,12,11,55,80,0.042167271457705664,92735.03125,37,73,202,143,0.030945771608464314,512446.25
site_016,271.3061937249503,218.817365584633,19,15,108,93,0.0260514465288936,41684.62890625,109,92,432,150,0.024725175798977414,163500.046875
site_017,907.9836446932267,172.07716238262097,2,22,20,46,0.060635145497237135,107778.71875,53,154,170,118,0.05213093558659745,760617.4375
site_018,830.5606122821548,45.58744946511288,1,24,3,23,0.014148224533353123,73174.921875,44,124,150,137,0.032807845144159305,890968.0625
site_019,323.78653562822655,108.01686954511915,5,6,39,41,0.01279431038520978,6559.8828125,79,96,336,150,0.02928172634465447,75932.125
site_020,131.58801526449554,207.98349013547303,12,32,35,72,0.06295467547694575,195108.171875,57,194,172,136,0.04986752322274684,1267251.375
site_021,189.93645584564854,245.9336030079116,11,20,29,50,0.03874936651161517,8113.37109375,65,138,111,137,0.04397116439867869,65715.734375
site_022,1898.6768467116187,243.8060857921296,0,6,0,13,0.0300670904402049,32804.2578125,7,54,48,81,0.018566223781726104,224166.984375
site_023,267.9506495706513,279.7739171781079,4,9,3,16,0.052857071947408275,9579.802734375,31,81,53,67,0.03590742335036114,73876.78125
site_024,280.4894590253357,1211.877756839061,13,0,16,31,0.012407022767994233,4491.5859375,93,95,440,179,0.0153562597372521,47351.828125
site_025,991.9344305068058,826.9707472543437,1,2,5,13,0.022281580498206967,3026.4189453125,36,63,86,91,0.030329483526043238,54530.34375
site_026,243.43722662645789,112.48538293101318,6,26,58,70,0.03340761741299267,103308.34375,100,248,508,185,0.04312381621883387,1084775.875
site_027,1361.0284765593115,328.3506083715495,0,10,8,15,0.038354135829494415,4870.1748046875,23,98,50,65,0.0364551477395723,55348.5703125
site_028,427.8126901350588,115.97308141765937,4,10,2,15,0.054120628793129365,42068.515625,8,86,18,45,0.03525583493896506,370020.9375
site_029,115.12204339173154,59.771570241345906,26,42,123,101,0.04731489371702771,102605.125,97,245,614,191,0.04684815228152865,682548.75
site_030,2181.7699363637807,98.6480608652022,0,13,0,7,0.06272014541392155,143645.75,5,105,17,44,0.05040474411985849,933636.25
site_031,467.50595099439687,127.82586022171105,2,33,48,66,0.01235992930461926,115599.75,83,266,802,175,0.03484702615807345,1450617.0
site_032,1140.0504002807072,684.8751130808179,0,8,1,10,0.03213417870419852,96563.84375,13,106,12,49,0.04393758013996703,974841.5
site_033,665.0960666132787,169.64266792941316,2,18,35,60,0.03144529136403835,106609.3046875,78,254,502,170,0.033422758971658834,1247147.375
site_034,1591.7321903721954,703.7043850969187,0,1,3,23,0.013524960632156396,5876.5068359375,14,31,30,58,0.006810412924948178,163747.34375
site_035,290.8149442396936,357.5807753885042,11,23,17,39,0.059808253666973114,14465.060546875,58,180,219,137,0.052708950193202916,491858.0625
site_036,818.180362058034,158.58311318747258,1,8,1,17,0.0391521302641634,9318.04296875,59,101,117,99,0.04182746709479306,88787.1484375
site_037,1657.52497794607,564.1524805152792,0,7,0,16,0.0333795599962924,5359.599609375,17,42,20,43,0.02425105950187566,45297.19921875
site_038,2799.710508442003,78.5007760068137,0,4,0,0,0.014928067035937732,1111.98974609375,2,21,8,16,0.011301580277789037,6306.3154296875
site_039,884.4176079622505,420.22668401063095,4,10,3,20,0.028593409573298353,87927.96875,35,166,141,130,0.030685307388749958,1111204.625
site_040,201.53320092482178,230.35588356313195,11,24,43,83,0.06526537039434158,192618.5625,60,212,175,139,0.05643433625524024,1504601.5
site_041,339.4906049332554,205.2602508783377,25,14,33,54,0.028371655831190338,124376.1640625,64,66,111,117,0.020681359183019526,416454.125
